,Longitude,Latitude,Month,Season,DayofWeek,Workday,Hour,PRECIPITATION,MIN_TEMPERATURE,Target
1146,-113.9766762,51.06320918,10,Summer,2,Weekday,7,0,1.5,1
1206,-114.09272782965108,51.142491171826926,10,Winter,4,Weekday,14,0,-1.5,0
707,-114.14806927486444,51.023861613662014,7,Summer,0,Weekday,17,1,3.3,0
26,-114.246455686435,51.123906550108536,10,Summer,0,Weekday,8,0,-4.8,1
898,-114.0623855,51.06686347,2,Winter,6,Weekend,21,0,-8.3,1
1503,-114.01021647133001,50.934744115055935,9,Winter,6,Weekend,17,1,-24.6,0
125,-114.05967500215178,51.03050853300526,7,Summer,6,Weekend,0,1,11.1,1
1507,-114.08027434749972,50.9883653432072,7,Summer,0,Weekday,17,0,4.0,0
757,-114.0134386,51.07426293,11,Winter,1,Weekday,15,1,-6.4,1
1043,-114.167216027431,51.09671037895958,8,Summer,4,Weekday,18,0,-2.8,0
746,-114.0553775,51.04908903,11,Winter,6,Weekend,9,0,-10.5,1
696,-114.19397816618427,51.055698892219006,10,Winter,0,Weekday,17,0,-33.2,0
482,-114.002497681254,51.063631194331506,10,Summer,0,Weekday,17,0,1.5,0
1275,-114.04567739637251,50.96400378562354,2,Summer,5,Weekday,17,0,4.7,0
1009,-114.0787342,51.04694165,9,Summer,0,Weekday,15,0,8.5,1
843,-114.12324152067146,50.93746433874064,7,Summer,6,Weekend,4,1,10.2,0
899,-114.11489022066992,50.99446831285693,6,Summer,3,Weekday,10,1,9.0,0
842,-114.04235711992,50.947764024292056,9,Summer,1,Weekday,19,0,-4.6,0
1354,-114.0526658,51.03780753,10,Summer,6,Weekend,1,0,-2.2,1
1446,-114.18982098934426,51.1007712141945,6,Summer,6,Weekend,11,0,10.7,0
261,-114.06030023876096,51.049259824133536,11,Winter,1,Weekday,11,1,-3.6,1
1397,-114.0793581,51.03781286,8,Summer,0,Weekday,14,0,4.0,1
902,-114.06418754721749,51.099533246488114,11,Summer,0,Weekday,17,0,-0.4,0
1058,-114.2371845575536,51.14448922654219,6,Winter,1,Weekday,14,0,-23.4,0
1040,-113.9821134,51.04814715,3,Winter,2,Weekday,15,0,-2.5,1
1180,-113.95331450931167,51.13373914703214,8,Summer,6,Weekend,17,0,16.3,0
283,-113.93022596860011,51.1282063,11,Summer,1,Weekday,11,1,5.7,0
808,-114.08404162332462,51.04994073550803,4,Summer,0,Weekday,23,0,8.6,0
1137,-113.9367909449181,51.05006838025746,9,Winter,0,Weekday,12,0,0.9,0
1319,-113.9780622,51.07788045,12,Winter,1,Weekday,19,1,-4.8,1
667,-114.11913468290447,51.17973007723528,4,Winter,4,Weekday,16,0,-5.4,0
461,-114.0871036,51.05161576,2,Winter,0,Weekday,16,1,-24.7,1
405,-114.1599746,51.08124954,5,Winter,1,Weekday,16,0,1.2,1
691,-114.0813999,51.05364894,2,Winter,4,Weekday,8,0,-29.8,1
841,-114.0101719,50.98504407,6,Summer,6,Weekend,3,1,7.9,1
334,-114.15175481483487,51.16749705252675,7,Summer,3,Weekday,20,0,10.4,0
437,-113.98719493857614,50.884000450664075,7,Summer,6,Weekend,13,1,7.7,0
100,-114.09476769193398,51.09215889053169,8,Summer,0,Weekday,21,1,7.3,1
1053,-113.94869728319195,50.92018666330143,2,Summer,6,Weekend,12,1,10.4,0
1336,-114.0561676,51.06684262,11,Winter,5,Weekday,21,0,-15.5,1
470,-114.0502832,51.05326868,2,Winter,5,Weekday,0,0,-2.4,1
211,-113.99367248125806,51.013208013102485,9,Summer,4,Weekday,10,0,13.3,0
367,-113.96416299377213,50.9738053017453,12,Summer,1,Weekday,17,1,-0.8,0
430,-113.958501,51.06218695,4,Winter,1,Weekday,15,1,-11.1,1
153,-114.1180477533388,50.965482259766674,8,Summer,4,Weekday,17,0,-3.7,0
1239,-113.95230857490351,51.072386274905575,11,Summer,4,Weekend,13,0,-8.8,0
149,-114.1230915122276,51.15951392153512,7,Winter,1,Weekday,21,0,-2.1,0
785,-114.17558497446105,51.13814267866899,10,Winter,3,Weekday,20,0,0.0,0
678,-114.0789188,51.07053988,3,Winter,1,Weekday,14,0,-6.6,1
561,-114.1605353,51.07264034,10,Summer,2,Weekday,9,0,1.2,1
1082,-114.08473499730955,50.98914805252786,8,Summer,1,Weekday,18,0,-5.8,0
237,-113.95999247171056,51.15230294342066,11,Winter,4,Weekday,12,0,-9.0,0
370,-114.03516956749384,51.14110418158605,7,Summer,5,Weekday,7,0,13.3,1
1429,-113.93914848462073,51.090198158007794,8,Summer,0,Weekend,11,1,-6.9,0
1135,-114.09398925356233,50.97532967928733,12,Summer,1,Weekday,10,0,-26.8,0
1264,-114.0686808,50.9311591,3,Winter,3,Weekday,23,0,-8.6,1
630,-113.9114331,51.03926744,6,Summer,6,Weekend,11,0,16.0,1
998,-113.95744776609206,50.888733253060096,10,Winter,2,Weekday,19,0,-7.8,0
859,-114.0714152,50.98962799,5,Winter,2,Weekday,5,0,1.3,1
230,-114.03614017644479,50.99959455945603,10,Winter,6,Weekend,3,1,6.5,0
536,-113.96750506967507,51.095196897078104,7,Summer,4,Weekday,0,1,14.0,0
